Дата,Эффективное энергопотребление,Ожидаемое энергопотребление,Разница в энергопотреблении (эффективная-ожидаемая),Интервал прогноза низкий,Интервал прогноза высокий,Набор данных обучения или прогнозирования,Эффективное скользящее среднее энергопотребления,Интервал прогноза - низкое скользящее среднее,Интервал прогноза с высоким скользящим средним
2015-04-07,4058211.49127644,3938544.15180009,119667.339476347,3706768.60359169,4162573.80525075,t,,,
2015-04-11,3517122.31259405,3490637.36862794,26484.9439661107,3277341.20349849,3712677.72742792,t,,,
2015-04-13,4072120.62980946,3992116.27027138,80004.3595380848,3774752.16143438,4201616.50239008,t,,,
2015-04-15,4167343.26148119,4081699.71989594,85643.5415852526,3860563.00179103,4295397.78019077,t,,,
2015-04-18,3490205.75654698,3517358.92003377,-27153.163486795,3293227.792089,3727977.81281124,t,,,
2015-04-22,4111388.88130026,4012790.16427385,98598.7170264116,3787330.76912017,4232430.13553475,t,,,
2015-04-29,4119317.01880301,4051334.27854447,67982.7402585391,3829304.84878072,4288229.86869707,t,,,
2015-04-30,4075776.06570696,4142844.45746969,-67068.3917627335,3930621.85041535,4377503.48194399,t,,,
2015-05-08,4120757.52677225,4046545.02659476,74212.5001774929,3839558.63773148,4259581.8763185,t,,,
2015-05-09,3528858.48475073,3577765.60774614,-48907.1229954041,3366999.02042749,3798294.60503944,t,,,
2015-05-12,4245009.55376575,4293801.81315219,-48792.2593864407,4071694.64809247,4524133.50447445,t,,,
2015-05-14,3375827.26331198,3345845.5850739,29981.6782380817,3128076.07852476,3557521.39941934,t,,,
2015-05-15,3816076.44667972,4210716.93188562,-394640.4852059,3973275.06308646,4434046.82885056,t,,,
2015-05-16,3423432.13349998,3478854.1365996,-55422.0030996166,3259749.14186368,3686961.56040467,t,,,
2015-05-19,4131475.05682255,4139341.38650826,-7866.32968571084,3918768.35278399,4363863.12126843,t,,,
2015-05-20,4128913.53630494,4123139.38956008,5774.1467448594,3898038.07741312,4347468.18075824,t,,,
2015-05-21,4095892.8489678,4147011.9078457,-51119.0588779021,3921991.00495078,4380498.17239027,t,,,
